Vreme od početka (s);Najmanje kašnjenje (ms);Prosek (ms);Najveće (ms);Prekid;Pogoršanje
0,000;20,0;20,0;20,0;ne;ne
0,890;20,0;20,0;20,0;ne;ne
1,928;;;;da;ne
2,967;;;;da;ne
3,857;;;;da;ne
4,895;20,0;20,0;20,0;ne;ne
5,933;20,0;20,0;20,0;ne;ne
6,972;20,0;20,0;20,0;ne;ne
7,862;20,0;20,0;20,0;ne;ne
8,900;20,0;20,0;20,0;ne;ne
9,938;20,0;20,0;20,0;ne;ne
10,977;20,0;20,0;20,0;ne;ne
11,867;20,0;20,0;20,0;ne;ne
12,905;20,0;20,0;20,0;ne;ne
13,943;20,0;20,0;20,0;ne;ne
14,982;20,0;20,0;20,0;ne;ne
15,872;20,0;20,0;20,0;ne;ne
16,910;20,0;20,0;20,0;ne;ne
17,948;20,0;20,0;20,0;ne;ne
18,987;20,0;20,0;20,0;ne;ne
19,877;20,0;20,0;20,0;ne;ne
20,915;20,0;20,0;20,0;ne;ne
21,953;20,0;20,0;20,0;ne;ne
22,992;20,0;20,0;20,0;ne;ne
23,882;20,0;20,0;20,0;ne;ne
24,920;20,0;20,0;20,0;ne;ne
25,958;20,0;20,0;20,0;ne;ne
26,997;20,0;20,0;20,0;ne;ne
27,887;20,0;20,0;20,0;ne;ne
28,925;20,0;20,0;20,0;ne;ne
29,963;20,0;20,0;20,0;ne;ne
30,853;20,0;20,0;20,0;ne;ne
31,892;20,0;20,0;20,0;ne;ne
32,930;20,0;20,0;20,0;ne;ne
33,968;20,0;20,0;20,0;ne;ne
34,858;20,0;20,0;20,0;ne;ne
35,897;20,0;20,0;20,0;ne;ne
36,935;20,0;20,0;20,0;ne;ne
37,973;20,0;20,0;20,0;ne;ne
38,863;20,0;20,0;20,0;ne;ne
39,902;20,0;20,0;20,0;ne;ne
40,940;20,0;20,0;20,0;ne;ne
41,978;20,0;20,0;20,0;ne;ne
42,868;20,0;20,0;20,0;ne;ne
43,907;20,0;20,0;20,0;ne;ne
44,945;20,0;20,0;20,0;ne;ne
45,983;20,0;20,0;20,0;ne;ne
46,873;20,0;20,0;20,0;ne;ne
47,912;20,0;20,0;20,0;ne;ne
48,950;20,0;20,0;20,0;ne;ne
49,988;20,0;20,0;20,0;ne;ne
50,878;20,0;20,0;20,0;ne;ne
51,917;20,0;20,0;20,0;ne;ne
52,955;20,0;20,0;20,0;ne;ne
53,993;20,0;20,0;20,0;ne;ne
54,883;20,0;20,0;20,0;ne;ne
55,922;20,0;20,0;20,0;ne;ne
56,960;20,0;20,0;20,0;ne;ne
57,998;20,0;20,0;20,0;ne;ne
58,888;20,0;20,0;20,0;ne;ne
59,927;20,0;20,0;20,0;ne;ne
60,965;20,0;20,0;20,0;ne;ne
61,855;20,0;20,0;20,0;ne;ne
62,893;20,0;20,0;20,0;ne;ne
63,932;20,0;20,0;20,0;ne;ne
64,970;20,0;20,0;20,0;ne;ne
65,860;20,0;20,0;20,0;ne;ne
66,898;20,0;20,0;20,0;ne;ne
67,937;20,0;20,0;20,0;ne;ne
68,975;20,0;20,0;20,0;ne;ne
69,865;20,0;20,0;20,0;ne;ne
70,903;20,0;20,0;20,0;ne;ne
71,942;20,0;20,0;20,0;ne;ne
72,980;20,0;20,0;20,0;ne;ne
73,870;20,0;20,0;20,0;ne;ne
74,908;20,0;20,0;20,0;ne;ne
75,947;20,0;20,0;20,0;ne;ne
76,985;20,0;20,0;20,0;ne;ne
77,875;20,0;20,0;20,0;ne;ne
78,913;20,0;20,0;20,0;ne;ne
79,952;20,0;20,0;20,0;ne;ne
80,990;20,0;20,0;20,0;ne;ne
81,880;20,0;20,0;20,0;ne;ne
82,918;20,0;20,0;20,0;ne;ne
83,957;20,0;20,0;20,0;ne;ne
84,995;20,0;20,0;20,0;ne;ne
85,885;20,0;20,0;20,0;ne;ne
86,923;20,0;20,0;20,0;ne;ne
87,962;20,0;20,0;20,0;ne;ne
89,000;20,0;20,0;20,0;ne;ne
